Turbine,Day,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,2.5,2.0,1.5
BR2_GE_2_72_116_Park_Distribution,2024-04-25,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-26,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-27,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-28,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-29,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-30,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-05-01,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2-K002,2024-04-01,3.0,4.0,3.0,5.0,5.0,3.0,1.0,6.0,3.0,2.0,4.0,1.0,7.0,4.0,5.0,6.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,
BR2-K002,2024-04-02,,,,2.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,16.0,12.0,27.0,11.0,11.0,8.0,6.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
BR2-K002,2024-04-03,1.0,2.0,,1.0,7.0,10.0,10.0,8.0,12.0,11.0,8.0,9.0,8.0,6.0,5.0,2.0,4.0,,3.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,
