,Raw - Percent Missing,Raw - Count Missing,gradient_filtered_data - Percent Removed,gradient_filtered_data - Count Removed,range_filtered_data - Percent Removed,range_filtered_data - Count Removed,online_filtered_data_map - Percent Removed,online_filtered_data_map - Count Removed,Full Clean - Percent Missing,Full Clean - Count Missing
GNT-E002-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.069444444444445,219,5.069444444444445,219
GNT-E003-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.0,216,5.0,216
GNT-E004-IM-SHFT-BRG-TE-T-C,0.0,0,1.2037037037037037,52,0.0,0,5.277777777777778,228,6.481481481481481,280
GNT-E005-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.25462962962963,227,5.25462962962963,227
GNT-E006-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.138888888888888,222,5.138888888888888,222
GNT-E007-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,6.7592592592592595,292,6.7592592592592595,292
GNT-E008-IM-SHFT-BRG-TE-T-C,0.0,0,0.787037037037037,34,0.0,0,11.203703703703702,484,11.99074074074074,518
GNT-E009-IM-SHFT-BRG-TE-T-C,0.0,0,0.3703703703703704,16,0.0,0,5.694444444444445,246,6.064814814814815,262
GNT-E010-IM-SHFT-BRG-TE-T-C,0.0,0,0.6018518518518519,26,0.0,0,17.61574074074074,761,18.217592592592595,787
GNT-E011-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,7.291666666666667,315,7.291666666666667,315
GNT-E012-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.5092592592592595,238,5.5092592592592595,238
GNT-E013-IM-SHFT-BRG-TE-T-C,0.0,0,0.5092592592592593,22,0.0,0,5.763888888888889,249,6.273148148148149,271
GNT-E014-IM-SHFT-BRG-TE-T-C,0.0,0,1.0648148148148149,46,0.0,0,13.773148148148149,595,14.837962962962964,641
GNT-E015-IM-SHFT-BRG-TE-T-C,0.1388888888888889,6,0.0,0,0.0,0,10.277777777777777,444,10.416666666666668,450
GNT-E016-IM-SHFT-BRG-TE-T-C,0.0462962962962963,2,0.0,0,0.0,0,7.3842592592592595,319,7.430555555555555,321
GNT-E017-IM-SHFT-BRG-TE-T-C,0.0,0,0.5555555555555556,24,0.0,0,5.069444444444445,219,5.625,243
GNT-E018-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,6.50462962962963,281,6.50462962962963,281
GNT-E019-IM-SHFT-BRG-TE-T-C,0.0,0,0.32407407407407407,14,0.0,0,5.486111111111111,237,5.810185185185185,251
GNT-E020-IM-SHFT-BRG-TE-T-C,0.0,0,0.7407407407407408,32,0.0,0,16.412037037037035,709,17.15277777777778,741
GNT-E021-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.324074074074074,230,5.324074074074074,230
GNT-E022-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.208333333333334,225,5.208333333333334,225
GNT-F001-IM-SHFT-BRG-TE-T-C,0.0,0,1.25,54,0.0,0,5.486111111111111,237,6.736111111111111,291
GNT-F002-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.578703703703704,241,5.578703703703704,241
GNT-F003-IM-SHFT-BRG-TE-T-C,0.0,0,1.6203703703703702,70,0.0,0,5.625,243,7.24537037037037,313
GNT-F004-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.486111111111111,237,5.486111111111111,237
GNT-F005-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,7.662037037037036,331,7.662037037037036,331
GNT-A003-KW,0.0,0,0.0,0,4.2592592592592595,184,2.430555555555556,105,6.689814814814815,289
GNT-A004-KW,0.0,0,0.0,0,3.7037037037037033,160,7.3842592592592595,319,11.087962962962964,479
GNT-A005-KW,0.0,0,0.0,0,3.125,135,73.81944444444444,3189,76.94444444444444,3324
GNT-A006-KW,0.0,0,0.0,0,3.3333333333333335,144,2.2916666666666665,99,5.625,243
